@relation Ekstraksi Warna Buah Mangga dan Salak
@attribute modus integer
@attribute median real
@attribute rentang integer
@attribute euclidean real
@attribute class string
@data
237,109.0,237,24555.130197170613,'bata'
249,133.0,248,27969.394773573487,'bata'
253,157.0,250,31660.440758144854,'bata'
254,173.0,250,33689.81898140742,'bata'
253,148.0,252,29836.40035258945,'bata'
242,135.0,240,27336.455860261038,'bata'
243,152.0,243,30558.800663638616,'bata'
252,165.0,250,33040.52470830329,'bata'
251,170.0,250,34166.16952483846,'bata'
252,170.0,250,34173.5814628786,'bata'
252,160.0,250,32276.021130244662,'bata'
249,157.0,246,31451.391479551425,'bata'
242,147.0,240,30213.628597042098,'bata'
248,165.0,248,33100.14442566679,'bata'
252,176.0,248,35162.63403102788,'bata'
254,165.0,252,33356.80281441853,'bata'
252,158.0,250,32251.711427457612,'bata'
253,137.0,251,28792.13786782774,'bata'
238,135.0,235,28376.600536357415,'bata'
247,168.0,244,32482.613503226614,'bata'
251,170.0,249,33425.474192597474,'bata'
250,171.0,248,33602.88868534966,'bata'
252,146.0,251,30404.389535065493,'bata'
241,103.0,241,23849.243929315664,'bata'
126,42.0,125,9897.546867784966,'kayu'
116,41.0,116,9095.06289148129,'kayu'
114,43.0,114,9406.008664678127,'kayu'
126,45.0,125,10361.553358449688,'kayu'
135,41.0,135,9078.809558526933,'kayu'
152,40.0,152,9315.816926067193,'kayu'
131,47.0,130,10955.630059471705,'kayu'
133,46.0,131,10151.813434061916,'kayu'
136,52.0,136,10987.62340089976,'kayu'
163,56.0,163,12077.510670663885,'kayu'
178,50.0,178,10991.689178647657,'kayu'
192,53.0,191,12469.162000711996,'kayu'
134,54.0,134,11819.088543538372,'kayu'
158,52.0,157,11265.694119760221,'kayu'
149,58.0,149,12157.225382462892,'kayu'
175,63.0,174,14134.489272697476,'kayu'
177,65.0,176,13776.922188936105,'kayu'
204,76.0,204,17226.26004099555,'kayu'
117,44.0,117,9719.530904318377,'kayu'
134,46.0,134,9882.152700702412,'kayu'
133,54.0,133,11138.250760330367,'kayu'
178,63.0,177,14093.3374684636,'kayu'
167,66.0,167,13974.291717292866,'kayu'
202,73.0,202,16628.12340584469,'kayu'
