modus,median,rentang,euclidean,class
-75,182.0,-32,85056.80376078095,jambu
-71,181.0,-50,86223.41506226716,jambu
-71,187.0,-31,91615.7477947978,jambu
-69,183.0,-80,88131.75736362007,jambu
-61,187.0,-55,88625.41913017958,jambu
-56,191.0,-44,89006.93248281282,jambu
-73,180.0,-49,84976.18576989674,jambu
-76,180.0,-72,83252.57389414456,jambu
-76,190.0,-72,91947.59906055187,jambu
-64,177.0,-64,82479.87295698267,jambu
-52,189.0,-55,85548.71713240357,jambu
-89,167.0,-52,81009.84216130778,jambu
-43,206.0,-45,93413.53219421691,jambu
-58,193.0,-63,90548.42500010699,jambu
-62,188.0,-71,88887.0655663691,jambu
-59,191.0,-62,86564.62209239985,jambu
-53,196.0,-61,89585.67031060268,jambu
-57,193.0,-50,88092.39486471009,jambu
-62,189.0,-68,86839.39508656196,jambu
-64,188.0,-48,88440.7581435166,jambu
-59,189.0,-66,88893.00617596415,jambu
-70,185.0,-64,85983.50437147813,jambu
-80,177.0,-60,87371.84134490929,jambu
-73,182.0,-63,85562.82205490887,jambu
-75,181.0,-77,87640.7436983507,jambu
-73,180.0,-64,82184.6144056173,jambu
-73,181.0,-54,83773.61932016547,jambu
-74,182.0,-62,86875.09397980529,jambu
-80,177.0,-51,82302.89394061426,jambu
-68,185.0,-43,87412.88251167559,jambu
-93,165.0,-66,78969.47583085505,jambu
-85,177.0,-58,84258.86166451575,jambu
-84,178.0,-55,83926.97808213995,jambu
-79,177.0,-51,84283.69191605218,jambu
-93,165.0,-46,78708.66214718683,jambu
-79,183.0,-53,86388.67872007303,jambu
-78,181.0,-62,86745.26152476572,jambu
-75,185.0,-72,89329.94858948482,jambu
-80,180.0,-69,87332.25527833344,jambu
-68,182.0,-66,86871.63346570617,jambu
-41,205.0,-28,93606.2028607079,nangka
-59,201.0,-7,94030.17372630979,nangka
-42,203.0,-60,95653.96639972647,nangka
-41,201.0,-20,91561.43450711113,nangka
-33,208.0,-36,94322.96740985199,nangka
-38,205.0,-44,93984.97393732681,nangka
-41,205.0,-37,94429.21519847552,nangka
-39,204.0,-43,93204.85269555444,nangka
-40,204.0,-40,94259.17471524987,nangka
-31,210.0,-31,93937.98482509618,nangka
-39,206.0,-37,94440.49631381656,nangka
-44,202.0,-48,94208.63541629292,nangka
-40,205.0,-38,92944.36056587833,nangka
-38,203.0,-46,92982.43965932493,nangka
-41,207.0,-29,96098.43386340904,nangka
-39,203.0,-29,93152.54890769227,nangka
-39,204.0,-11,92893.66411117607,nangka
-39,202.0,-37,92203.96109170148,nangka
-39,202.0,-38,92417.93500722681,nangka
-52,204.0,-34,95035.25950403881,nangka
-36,206.0,-32,95217.16331103338,nangka
-43,204.0,-43,92655.36355225206,nangka
-53,205.0,-31,92367.14439128233,nangka
-35,206.0,-48,93412.71457890516,nangka
-39,203.0,-32,93954.02204802091,nangka
-40,206.0,-24,94731.75024246096,nangka
-44,205.0,-44,93872.44648990459,nangka
-32,208.0,-16,94548.18330882936,nangka
-28,209.0,-30,94668.33990833472,nangka
-37,204.0,-50,92085.38533339587,nangka
-39,203.0,-39,92042.06242256852,nangka
-42,204.0,-37,93273.56504390726,nangka
-42,207.0,-28,93801.4768327237,nangka
-57,202.0,-60,96126.38211750195,nangka
-47,205.0,-50,93910.06054198879,nangka
-58,201.0,-32,94710.59193669945,nangka
-58,202.0,-49,93703.756429505,nangka
-56,201.0,-46,92627.18548028974,nangka
-59,200.0,-45,92026.37537684508,nangka
-51,208.0,-37,94865.36303625259,nangka
