b,g,r,class
71.20275906320175,101.42188001283291,83.55181264035933,Mango
70.92654370489173,101.41106655974339,83.37161186848438,Mango
71.15763309813984,101.46135343168694,83.60102629890957,Mango
70.80910260533936,101.50997105178516,83.42216146670954,Mango
70.92013498312708,101.80459585408967,83.69741282339704,Mango
70.91923570969811,101.77247912652537,83.60886319845856,Mango
70.66344449814727,101.5078137586596,83.62622845174803,Mango
70.94008697052665,101.92816878724436,83.82283781607342,Mango
70.95453812671288,101.75157182008708,83.864742866355,Mango
70.89245404708159,101.83279587229924,83.82360528861656,Mango
70.88384491114701,101.80452342487884,83.9930533117932,Mango
70.88349201226401,101.94852347910276,84.02840083911573,Mango
71.12572627501613,101.9556165267915,84.20480955455132,Mango
70.84343189529811,101.93811601227982,84.00953304249475,Mango
70.95312752545661,101.71197672539195,84.07628899304994,Mango
70.72705235940533,101.89980607627666,83.92194570135747,Mango
70.84177317586149,102.16130076039474,83.96295097880603,Mango
70.74145472217725,102.15454398185649,83.87817916734164,Mango
71.26232219649354,102.23618921601059,84.27323850479657,Mango
71.52409240924095,102.60990099009904,84.53283828382841,Mango
71.60313790255984,102.40181668042938,84.5293146160198,Mango
71.57076796036337,102.52221304706848,84.4290668868703,Mango
71.69674433977858,102.59857874731448,84.75822178152374,Mango
71.84481903817553,102.72764832259132,84.6608824987605,Mango
71.986439556805,102.5405986439557,84.70448156110471,Mango
72.3098661378285,102.73805982482234,84.89010080978348,Mango
72.53463060686016,102.88077176781003,84.95695910290237,Mango
72.68613861386142,103.10874587458744,85.06831683168316,Mango
72.61887477313975,102.9590826596271,84.94043887147336,Mango
69.66270086526579,95.41486402966629,77.54728059332507,Mango
69.24987489574649,97.18682235195995,80.16480400333609,Mango
70.42720395244712,95.8476146364057,77.9152385363594,Mango
68.2599573840354,95.79577118505163,78.88018357646288,Mango
67.91762013729978,95.63288656423668,78.53563255966003,Mango
67.68860718348773,95.32325694783034,78.25012189176012,Mango
67.8110643804594,95.45956001294081,78.31996117761243,Mango
67.47920696324951,95.19713088330104,78.15683430045135,Mango
67.57524115755626,94.92025723472669,78.10321543408365,Mango
67.20512820512819,94.79310897435894,77.77500000000003,Mango
67.86664498292406,95.07985038217596,78.24085217108473,Mango
67.41400551142813,94.91408656184153,77.88263900145891,Mango
70.80964153275653,95.91841779975279,78.2064276885043,Mango
67.58709677419358,94.8203225806452,77.99016129032255,Mango
67.16374738871927,94.639241523381,77.62959987144463,Mango
67.02819609099649,94.28965075296375,77.55318808074337,Mango
66.5944737262418,94.16722568279826,77.13017089921739,Mango
66.57976777477334,93.96723397486885,77.15540003181168,Mango
66.23058637083996,93.92725832012678,76.96576862123611,Mango
66.17870662460567,94.08312302839111,77.0577287066246,Mango
65.8623882002197,93.80182017887962,76.72791463988698,Mango
65.92096219931273,93.62449234614184,76.75570134333019,Mango
65.74670184696568,93.74018314449789,76.71193543380411,Mango
70.89778877377456,96.1096335240451,78.18231019019639,Mango
66.05377700678129,93.77763759659359,77.02854439362872,Mango
65.60559483553642,93.74331386412537,76.70703965570237,Mango
65.43808789514263,93.81788743253661,76.86877409406321,Mango
65.47742628992626,93.75568181818181,76.85380835380835,Mango
65.13564765254624,93.78222969873073,76.67380333384305,Mango
64.92232713981115,93.90100517819067,76.76682911970761,Mango
